GeneSymbol	D0-DC-n1	D0-DC-n2	D0-DP-n1	D0-DP-n2	D0-DP-n3	D4-DC-n1	D4-DC-n2	D4-DC-n3	D4-DP-n1	D4-DP-n2	D4-DP-n3	D7-DC-n1	D7-DC-n2	D7-DP-n1	D7-DP-n2	D7-DP-n3
0610005C13Rik	12	8	14	9	14	0	0	3	8	1	0	1	9	12	7	26
0610007P14Rik	1763	1734	3408	1415	1559	1616	1612	1397	1386	1969	1628	1976	1874	1620	1668	1864
0610009B22Rik	443	386	1038	755	533	390	357	472	465	548	396	630	707	901	865	1023
0610009L18Rik	81	53	58	39	33	132	130	89	58	39	23	54	49	75	46	72
0610009O20Rik	222	251	276	612	422	236	238	221	397	374	387	250	340	483	558	656
0610010B08Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0610010F05Rik	588	534	927	669	624	463	1024	765	798	1195	825	679	1018	685	674	1010
0610010K14Rik	1540	1559	3582	2455	2173	2160	1651	1638	2036	2931	2297	1878	1885	3091	2664	2942
0610011F06Rik	467	529	1279	847	657	812	662	558	751	1243	1028	541	535	737	797	813
0610012G03Rik	1110	1104	2116	1635	1118	1708	1434	1169	1129	1418	1061	1682	1676	1494	1656	1820
0610030E20Rik	1118	1273	1265	1452	1323	777	761	931	877	841	820	1172	1222	1289	1452	1762
0610037L13Rik	1077	849	901	724	566	1100	1088	944	795	1218	828	977	1080	721	839	811
0610038B21Rik	4	13	25	27	8	5	16	31	10	8	19	4	10	7	19	12
0610039H22Rik	7	11	43	31	31	41	2	11	27	37	30	5	7	23	45	47
0610039K10Rik	8	7	5	4	3	11	7	0	0	0	3	1	7	1	2	4
0610040B10Rik	21	31	45	31	13	8	7	8	4	27	15	11	16	19	20	29
0610040F04Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0610040J01Rik	325	274	22	10	0	184	431	305	0	0	6	681	564	0	0	2
0610043K17Rik	5	7	0	0	0	5	1	4	0	4	2	7	2	4	0	0
1010001N08Rik	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
1110001J03Rik	406	523	1540	535	559	749	536	517	540	899	740	572	499	690	627	594
1110002L01Rik	40	58	96	117	105	23	86	32	106	118	71	48	56	90	119	161
1110004E09Rik	481	439	1293	1072	1001	496	543	485	903	1690	1046	711	677	1163	1203	1424
